Commodity,State,District,Market,Percentage
Soyabean,Rajasthan,Ajmer,Ajmer (Grain),0
Soyabean,Rajasthan,Ajmer,Bijay Nagar,0
Soyabean,Rajasthan,Ajmer,Madanganj Kishanganj,0
Soyabean,Rajasthan,Ajmer,Ajmer(F&V),0
Soyabean,Rajasthan,Ajmer,Kekri,0
Soyabean,Rajasthan,Ajmer,Vijay Nagar(Gulabpura),0
Soyabean,Rajasthan,Ajmer,Beawar,0
Soyabean,Rajasthan,Alwar,Alwar,0
Soyabean,Rajasthan,Alwar,Govindgarh,0
Soyabean,Rajasthan,Alwar,Kherli,0
Soyabean,Rajasthan,Alwar,Alwar(FV),0
Soyabean,Rajasthan,Alwar,Khairthal,0
Soyabean,Rajasthan,Alwar,Kishangarhbas,0
Soyabean,Rajasthan,Alwar,Bahroad,0
Soyabean,Rajasthan,Alwar,Khedh(Bodaramev),0
Soyabean,Rajasthan,Alwar,Sikri,0
Soyabean,Rajasthan,Alwar,Bansoor,0
Soyabean,Rajasthan,Alwar,Khedli(laxmangarh),0
Soyabean,Rajasthan,Alwar,Tijara,0
Soyabean,Rajasthan,Banswara,Banswara,0
Soyabean,Rajasthan,Baran,Anta,2
Soyabean,Rajasthan,Baran,Baran,70
Soyabean,Rajasthan,Baran,Nahargarh,0
Soyabean,Rajasthan,Baran,Atru,18
Soyabean,Rajasthan,Baran,Chhabra,18
Soyabean,Rajasthan,Baran,Samraniyan,0
Soyabean,Rajasthan,Baran,Atru(Kawai Salpura),0
Soyabean,Rajasthan,Baran,Chhabra(Chhipabadod),0
Soyabean,Rajasthan,Barmer,Balotra,0
Soyabean,Rajasthan,Barmer,Chohtan,0
Soyabean,Rajasthan,Barmer,Dhorimanna,0
Soyabean,Rajasthan,Barmer,Barmer,0
Soyabean,Rajasthan,Bharatpur,Bayana,0
Soyabean,Rajasthan,Bharatpur,Deeg,0
Soyabean,Rajasthan,Bharatpur,Nagar,0
Soyabean,Rajasthan,Bharatpur,Bharatpur,0
Soyabean,Rajasthan,Bharatpur,Kama,0
Soyabean,Rajasthan,Bharatpur,Pahari,0
Soyabean,Rajasthan,Bharatpur,Bharatpur(Kumer),0
Soyabean,Rajasthan,Bharatpur,Nadwai,0
Soyabean,Rajasthan,Bhilwara,Bhilwara,18
Soyabean,Rajasthan,Bhilwara,Gangapur,0
Soyabean,Rajasthan,Bhilwara,Shahpura,0
Soyabean,Rajasthan,Bhilwara,Bijolia,0
Soyabean,Rajasthan,Bhilwara,Mandalgarh,0
Soyabean,Rajasthan,Bikaner,Bajju,0
Soyabean,Rajasthan,Bikaner,Guda(Godaji),0
Soyabean,Rajasthan,Bikaner,Nokha,0
Soyabean,Rajasthan,Bikaner,Bikaner (Grain),0
Soyabean,Rajasthan,Bikaner,Khajuwala,0
Soyabean,Rajasthan,Bikaner,Pugal Road Bikaner,0
Soyabean,Rajasthan,Bikaner,Bikaner(F&V),0
Soyabean,Rajasthan,Bikaner,Lunkaransar,0
Soyabean,Rajasthan,Bikaner,Sridungargarh,0
Soyabean,Rajasthan,Bundi,Bundi,63
Soyabean,Rajasthan,Bundi,Keshoraipatan,0
Soyabean,Rajasthan,Bundi,Sumerganj,0
Soyabean,Rajasthan,Bundi,DEI(Bundi),0
Soyabean,Rajasthan,Chittorgarh,Badrisadri,1
Soyabean,Rajasthan,Chittorgarh,Fatehnagar,6
Soyabean,Rajasthan,Chittorgarh,Nimbahera,34
Soyabean,Rajasthan,Chittorgarh,Begu,3
Soyabean,Rajasthan,Chittorgarh,Kapasan,0
Soyabean,Rajasthan,Chittorgarh,Pratapgarh,66
Soyabean,Rajasthan,Chittorgarh,Chittorgarh,0
Soyabean,Rajasthan,Churu,Churu,0
Soyabean,Rajasthan,Churu,Sadulpur(ph 3),0
Soyabean,Rajasthan,Churu,Sujangarh(Churu),0
Soyabean,Rajasthan,Churu,Ratangarh,0
Soyabean,Rajasthan,Churu,Sardar Shahar,0
Soyabean,Rajasthan,Dausa,Bandikui,0
Soyabean,Rajasthan,Dausa,Lalsot,0
Soyabean,Rajasthan,Dausa,Mahua Mandabar(Mahua),0
Soyabean,Rajasthan,Dausa,Dausa,0
Soyabean,Rajasthan,Dausa,Lalsot(Mandabari),0
Soyabean,Rajasthan,Dausa,Mahuwa Mandawar,0
Soyabean,Rajasthan,Dholpur,Dholpur,0
Soyabean,Rajasthan,Dungarpur,Dungarpur,0
Soyabean,Rajasthan,Ganganagar,Anoopgarh,0
Soyabean,Rajasthan,Ganganagar,Kesarisinghpur,0
Soyabean,Rajasthan,Ganganagar,Sadulshahar,0
Soyabean,Rajasthan,Ganganagar,Beenjhwaila,0
Soyabean,Rajasthan,Ganganagar,Lalgarh Jatan,0
Soyabean,Rajasthan,Ganganagar,Sri Karanpur,0
Soyabean,Rajasthan,Ganganagar,Dablirathan,0
Soyabean,Rajasthan,Ganganagar,Padampur,0
Soyabean,Rajasthan,Ganganagar,Sri Vijayanagar,0
Soyabean,Rajasthan,Ganganagar,Gajsinghpur,0
Soyabean,Rajasthan,Ganganagar,Raisingh Nagar,0
Soyabean,Rajasthan,Ganganagar,Sriganganagar,0
Soyabean,Rajasthan,Ganganagar,Gharsana,0
Soyabean,Rajasthan,Ganganagar,Rawla,0
Soyabean,Rajasthan,Ganganagar,Sriganganagar(F&V),0
Soyabean,Rajasthan,Ganganagar,Jaitsar,0
Soyabean,Rajasthan,Ganganagar,Ridmalsar,0
Soyabean,Rajasthan,Hanumangarh,Bhadara,0
Soyabean,Rajasthan,Hanumangarh,Hanumangarh Town,0
Soyabean,Rajasthan,Hanumangarh,Rawatsar,0
Soyabean,Rajasthan,Hanumangarh,Goluwala,0
Soyabean,Rajasthan,Hanumangarh,Nohar,0
Soyabean,Rajasthan,Hanumangarh,Sangriya,0
Soyabean,Rajasthan,Hanumangarh,Hanumangarh,0
Soyabean,Rajasthan,Hanumangarh,Pilli Banga,0
Soyabean,Rajasthan,Hanumangarh,Suratgarh,0
Soyabean,Rajasthan,Jaipur,Bagru,0
Soyabean,Rajasthan,Jaipur,Jaipur (Grain),0
Soyabean,Rajasthan,Jaipur,Kishangarh Renwal,0
Soyabean,Rajasthan,Jaipur,Chaksu,0
Soyabean,Rajasthan,Jaipur,Jaipur(Bassi),0
Soyabean,Rajasthan,Jaipur,Kotputli,0
Soyabean,Rajasthan,Jaipur,Chomu,0
Soyabean,Rajasthan,Jaipur,Jaipur(F&V),0
Soyabean,Rajasthan,Jaipur,Rajdhani Mandi (Kukarkheda),0
Soyabean,Rajasthan,Jaipur,Chomu(F&V),0
Soyabean,Rajasthan,Jaipur,Kishan Renwal(Sambhar),0
Soyabean,Rajasthan,Jaipur,Sanganer,0
Soyabean,Rajasthan,Jaisalmer,Jaisalmer,0
Soyabean,Rajasthan,Jaisalmer,Mohangarh,0
Soyabean,Rajasthan,Jalore,Bheenmal(Ranlwada),0
Soyabean,Rajasthan,Jalore,Jalore,0
Soyabean,Rajasthan,Jalore,Sanchor,0
Soyabean,Rajasthan,Jalore,Bhinmal,0
Soyabean,Rajasthan,Jhalawar,Aklera,0
Soyabean,Rajasthan,Jhalawar,Dug,0
Soyabean,Rajasthan,Jhalawar,Khanpur,0
Soyabean,Rajasthan,Jhalawar,Bhawani Mandi,57
Soyabean,Rajasthan,Jhalawar,Jhalarapatan,48
Soyabean,Rajasthan,Jhalawar,Pidawa,0
Soyabean,Rajasthan,Jhalawar,Bhawani Mandi(Choumehla),0
Soyabean,Rajasthan,Jhunjunu,Bisau,0
Soyabean,Rajasthan,Jhunjunu,Jhunjhunu,0
Soyabean,Rajasthan,Jhunjunu,Nawalgarh,0
Soyabean,Rajasthan,Jhunjunu,Chirwa,0
Soyabean,Rajasthan,Jodhpur,Bilara,0
Soyabean,Rajasthan,Jodhpur,Jodhpur(Grain)(Bhagat Ki Kothi),0
Soyabean,Rajasthan,Jodhpur,Mathania,0
Soyabean,Rajasthan,Jodhpur,Jodhpur (Grain)(Mandor),0
Soyabean,Rajasthan,Jodhpur,Jodhpur(Grain)(Phalodi),0
Soyabean,Rajasthan,Jodhpur,Pipar City,0
Soyabean,Rajasthan,Jodhpur,Jodhpur(F&V)(Bhadwasia),0
Soyabean,Rajasthan,Karauli,Hindoun,0
Soyabean,Rajasthan,Karauli,Karauli,0
Soyabean,Rajasthan,Kota,Itawa,71
Soyabean,Rajasthan,Kota,Kota(Mandana),0
Soyabean,Rajasthan,Kota,Ramgang Mandi(Bapawarkala),0
Soyabean,Rajasthan,Kota,Kota,77
Soyabean,Rajasthan,Kota,Manohararthana,0
Soyabean,Rajasthan,Kota,Ramgang Mandi(Samod),0
Soyabean,Rajasthan,Kota,Kota (FV),0
Soyabean,Rajasthan,Kota,Ramaganj Mandi,55
Soyabean,Rajasthan,Kota,Sultanpur,0
Soyabean,Rajasthan,Nagaur,Deedwana,0
Soyabean,Rajasthan,Nagaur,Kheenwsar,0
Soyabean,Rajasthan,Nagaur,Merta City,0
Soyabean,Rajasthan,Nagaur,Degana,0
Soyabean,Rajasthan,Nagaur,Kuchaman City,0
Soyabean,Rajasthan,Nagaur,Nagaur,0
Soyabean,Rajasthan,Nagaur,Jayal,0
Soyabean,Rajasthan,Pali,Jaitaran,0
Soyabean,Rajasthan,Pali,Rani,0
Soyabean,Rajasthan,Pali,Sojat Road,0
Soyabean,Rajasthan,Pali,Pali,0
Soyabean,Rajasthan,Pali,Sojat City,0
Soyabean,Rajasthan,Pali,Sumerpur,0
Soyabean,Rajasthan,Pratapgarh,Dhariyavad,0
Soyabean,Rajasthan,Rajasamand,Rajasamand,0
Soyabean,Rajasthan,Sikar,Fatehpur,0
Soyabean,Rajasthan,Sikar,Palsana,0
Soyabean,Rajasthan,Sikar,Sri Madhopur,0
Soyabean,Rajasthan,Sikar,Neem Ka Thana,0
Soyabean,Rajasthan,Sikar,Sikar,0
Soyabean,Rajasthan,Sikar,Surajgarh,0
Soyabean,Rajasthan,Sirohi,Abu Road,0
Soyabean,Rajasthan,Swai Madhopur,Gangapur City,0
Soyabean,Rajasthan,Swai Madhopur,Sawai Madhopur,17
Soyabean,Rajasthan,Tonk,Deoli,0
Soyabean,Rajasthan,Tonk,Niwai,0
Soyabean,Rajasthan,Tonk,Tonk,0
Soyabean,Rajasthan,Tonk,Dooni,0
Soyabean,Rajasthan,Tonk,Todaraisingh,0
Soyabean,Rajasthan,Tonk,Uniyara,0
Soyabean,Rajasthan,Tonk,Malpura,0
Soyabean,Rajasthan,Udaipur,Bassi,0
Soyabean,Rajasthan,Udaipur,Udaipur,0
Soyabean,Rajasthan,Udaipur,Udaipur(F&V),0
Soyabean,Rajasthan,Udaipur,Choti Sadri,0
