DATE,PRICE,IMPUTED
2006-01-01,1135,1
2006-01-02,1135,1
2006-01-03,1135,1
2006-01-04,1135,1
2006-01-05,1135,1
2006-01-06,1135,1
2006-01-07,1135,1
2006-01-08,1135,1
2006-01-09,1135,1
2006-01-10,1135,1
2006-01-11,1135,1
2006-01-12,1135,1
2006-01-13,1135,1
2006-01-14,1135,1
2006-01-15,1135,1
2006-01-16,1135,1
2006-01-17,1135,1
2006-01-18,1135,1
2006-01-19,1135,1
2006-01-20,1135,1
2006-01-21,1135,1
2006-01-22,1135,1
2006-01-23,1135,1
2006-01-24,1135,1
2006-01-25,1135,1
2006-01-26,1135,1
2006-01-27,1135,1
2006-01-28,1135,1
2006-01-29,1135,1
2006-01-30,1135,1
2006-01-31,1135,1
2006-02-01,1135,1
2006-02-02,1135,1
2006-02-03,1135,1
2006-02-04,1135,1
2006-02-05,1135,1
2006-02-06,1135,1
2006-02-07,1135,1
2006-02-08,1135,1
2006-02-09,1135,1
2006-02-10,1135,1
2006-02-11,1135,1
2006-02-12,1135,1
2006-02-13,1135,1
2006-02-14,1135,1
2006-02-15,1135,1
2006-02-16,1135,1
2006-02-17,1135,1
2006-02-18,1135,1
2006-02-19,1135,1
2006-02-20,1135,1
2006-02-21,1135,1
2006-02-22,1135,1
2006-02-23,1135,1
2006-02-24,1135,1
2006-02-25,1135,1
2006-02-26,1135,1
2006-02-27,1135,1
2006-02-28,1135,1
2006-03-01,1135,1
2006-03-02,1135,1
2006-03-03,1135,1
2006-03-04,1135,0
2006-03-05,1123,1
2006-03-06,1111,1
2006-03-07,1100,0
2006-03-08,1128,0
2006-03-09,1125,0
2006-03-10,1118,0
2006-03-11,1115,0
2006-03-12,1128,1
2006-03-13,1122,0
2006-03-14,1119,1
2006-03-15,1102,1
2006-03-16,1102,1
2006-03-17,1112,0
2006-03-18,1117,0
2006-03-19,1108,1
2006-03-20,1117,0
2006-03-21,1109,0
2006-03-22,1111,0
2006-03-23,1098,0
2006-03-24,1116,0
2006-03-25,1114,0
2006-03-26,1086,1
2006-03-27,1118,0
2006-03-28,1117,0
2006-03-29,1103,1
2006-03-30,1103,1
2006-03-31,1075,0
2006-04-01,1076,1
2006-04-02,1102,1
2006-04-03,1072,0
2006-04-04,1100,0
2006-04-05,1109,0
2006-04-06,1085,1
2006-04-07,1102,1
2006-04-08,1102,1
2006-04-09,1102,1
2006-04-10,1102,1
2006-04-11,1102,1
2006-04-12,1165,0
2006-04-13,1179,1
2006-04-14,1145,0
2006-04-15,1050,0
2006-04-16,1029,1
2006-04-17,1160,0
2006-04-18,1174,0
2006-04-19,1186,0
2006-04-20,1179,0
2006-04-21,1173,0
2006-04-22,1200,0
2006-04-23,1144,1
2006-04-24,1225,0
2006-04-25,1224,0
2006-04-26,1219,0
2006-04-27,1211,1
2006-04-28,1254,0
2006-04-29,1272,0
2006-04-30,1136,1
2006-05-01,1246,0
2006-05-02,1254,0
2006-05-03,1277,0
2006-05-04,1274,0
2006-05-05,1263,0
2006-05-06,1265,0
2006-05-07,1140,1
2006-05-08,1259,0
2006-05-09,1250,0
2006-05-10,1268,0
2006-05-11,1269,0
2006-05-12,1304,0
2006-05-13,1304,0
2006-05-14,1136,1
2006-05-15,1128,1
2006-05-16,1289,0
2006-05-17,1289,0
2006-05-18,1137,1
2006-05-19,1279,0
2006-05-20,1260,0
2006-05-21,1162,1
2006-05-22,1258,0
2006-05-23,1251,0
2006-05-24,1257,0
2006-05-25,1265,0
2006-05-26,1273,0
2006-05-27,1273,1
2006-05-28,1231,1
2006-05-29,1258,0
2006-05-30,1250,0
2006-05-31,1245,0
2006-06-01,1240,0
2006-06-02,1240,1
2006-06-03,1240,0
2006-06-04,1240,1
2006-06-05,1254,0
2006-06-06,1243,0
2006-06-07,1230,0
2006-06-08,1235,0
2006-06-09,1229,0
2006-06-10,1235,0
2006-06-11,1235,1
2006-06-12,1239,0
2006-06-13,1244,0
2006-06-14,1232,0
2006-06-15,1224,0
2006-06-16,1190,0
2006-06-17,1118,0
2006-06-18,1118,1
2006-06-19,1200,0
2006-06-20,1196,0
2006-06-21,1194,0
2006-06-22,1198,0
2006-06-23,1198,0
2006-06-24,1195,0
2006-06-25,1195,1
2006-06-26,1195,1
2006-06-27,1185,0
2006-06-28,1195,0
2006-06-29,1190,0
2006-06-30,1180,0
2006-07-01,1186,0
2006-07-02,1186,1
2006-07-03,1185,0
2006-07-04,1190,0
2006-07-05,1185,0
2006-07-06,1160,0
2006-07-07,1185,0
2006-07-08,1175,0
2006-07-09,1175,1
2006-07-10,1168,0
2006-07-11,1175,0
2006-07-12,1185,0
2006-07-13,1185,0
2006-07-14,1195,0
2006-07-15,1195,1
2006-07-16,1195,1
2006-07-17,1196,0
2006-07-18,1195,0
2006-07-19,1193,0
2006-07-20,1200,0
2006-07-21,1200,1
2006-07-22,1192,0
2006-07-23,1192,1
2006-07-24,1200,0
2006-07-25,1200,1
2006-07-26,1200,1
2006-07-27,1200,1
2006-07-28,1200,1
2006-07-29,1200,1
2006-07-30,1200,1
2006-07-31,1200,1
2006-08-01,1200,1
2006-08-02,1200,1
2006-08-03,1200,1
2006-08-04,1200,1
2006-08-05,1200,1
2006-08-06,1200,1
2006-08-07,1200,1
2006-08-08,1200,1
2006-08-09,1200,1
2006-08-10,1200,1
2006-08-11,1200,1
2006-08-12,1200,1
2006-08-13,1200,1
2006-08-14,1200,1
2006-08-15,1200,1
2006-08-16,1200,1
2006-08-17,1200,1
2006-08-18,1200,1
2006-08-19,1200,1
2006-08-20,1200,1
2006-08-21,1200,1
2006-08-22,1200,1
2006-08-23,1200,1
2006-08-24,1200,1
2006-08-25,1200,1
2006-08-26,1200,1
2006-08-27,1200,1
2006-08-28,1200,1
2006-08-29,1200,1
2006-08-30,1200,1
2006-08-31,1200,1
2006-09-01,1200,1
2006-09-02,1200,1
2006-09-03,1200,1
2006-09-04,1200,1
2006-09-05,1180,0
2006-09-06,1180,1
2006-09-07,1187,0
2006-09-08,1165,0
2006-09-09,1170,0
2006-09-10,1170,1
2006-09-11,1170,0
2006-09-12,1141,0
2006-09-13,1125,0
2006-09-14,1138,0
2006-09-15,1135,0
2006-09-16,1145,0
2006-09-17,1145,1
2006-09-18,1145,0
2006-09-19,1145,0
2006-09-20,1138,0
2006-09-21,1125,0
2006-09-22,1140,1
2006-09-23,1120,0
2006-09-24,1119,1
2006-09-25,1125,0
2006-09-26,1118,0
2006-09-27,1125,0
2006-09-28,1128,0
2006-09-29,1147,1
2006-09-30,1115,0
2006-10-01,1114,1
2006-10-02,1144,1
2006-10-03,1115,0
2006-10-04,1112,0
2006-10-05,1120,0
2006-10-06,1100,0
2006-10-07,1120,0
2006-10-08,1139,1
2006-10-09,1125,0
2006-10-10,1135,0
2006-10-11,1120,0
2006-10-12,1120,0
2006-10-13,1080,0
2006-10-14,1113,0
2006-10-15,1168,1
2006-10-16,1100,0
2006-10-17,1090,0
2006-10-18,1120,0
2006-10-19,1128,1
2006-10-20,1125,1
2006-10-21,1125,1
2006-10-22,1125,1
2006-10-23,1125,1
2006-10-24,1125,1
2006-10-25,1130,0
2006-10-26,1135,0
2006-10-27,1135,0
2006-10-28,1130,1
2006-10-29,1127,1
2006-10-30,1160,0
2006-10-31,1160,0
2006-11-01,1150,0
2006-11-02,1185,0
2006-11-03,1200,0
2006-11-04,1265,0
2006-11-05,1239,1
2006-11-06,1235,0
2006-11-07,1225,0
2006-11-08,1220,0
2006-11-09,1280,0
2006-11-10,1265,0
2006-11-11,1280,0
2006-11-12,1245,1
2006-11-13,1290,0
2006-11-14,1290,0
2006-11-15,1295,0
2006-11-16,1295,0
2006-11-17,1290,0
2006-11-18,1285,0
2006-11-19,1224,1
2006-11-20,1235,1
2006-11-21,1350,0
2006-11-22,1280,0
2006-11-23,1280,0
2006-11-24,1259,0
2006-11-25,1295,0
2006-11-26,1369,1
2006-11-27,1325,0
2006-11-28,1330,0
2006-11-29,1320,0
2006-11-30,1300,0
2006-12-01,1280,0
2006-12-02,1301,0
2006-12-03,1292,1
2006-12-04,1300,0
2006-12-05,1300,0
2006-12-06,1300,0
2006-12-07,1285,0
2006-12-08,1290,0
2006-12-09,1280,0
2006-12-10,1266,1
2006-12-11,1300,0
2006-12-12,1300,0
2006-12-13,1320,0
2006-12-14,1315,0
2006-12-15,1325,0
2006-12-16,1309,0
2006-12-17,1277,1
2006-12-18,1245,0
2006-12-19,1245,0
2006-12-20,1287,1
2006-12-21,1293,0
2006-12-22,1310,0
2006-12-23,1300,0
2006-12-24,1285,1
2006-12-25,1300,0
2006-12-26,1300,0
2006-12-27,1300,0
2006-12-28,1290,0
2006-12-29,1300,0
2006-12-30,1303,0
2006-12-31,1288,1
